sample,fastq_1,fastq_2,strandedness
SRR6357070,data/SRR6357070_1.fastq.gz,data/SRR6357070_2.fastq.gz,auto
SRR6357071,data/SRR6357071_1.fastq.gz,data/SRR6357071_2.fastq.gz,auto
